text,label
setup was a nightmare printer from KiteX. firmware got better for the price…,0
sound is crisp and clear Acme fitness band — pairing is ok!?,1
oveall docs are outdated JaguarX printr — bluetooth is amazing!!,0
frankly JaguarX router: docs are outdated; esp. packaging. router router packaging JaguarX JaguarX JaguarX packaging packaging router JaguarX,0
battery drains fast update from KiteX. keyboard got better . keyboard update KiteX update KiteX keyboard update update KiteX keyboard keyboard,0
Acme fitness band: worth every rupee; esp. packaging. Acme packaging fitness band Acme Acme packaging fitness band fitness band packaging packaging packaging packaging Acme Acme fitness band packaging packaging Acme,1
will buy again NovaCore drone. microphone feels bad. drone microphone NovaCore NovaCore drone NovaCore microphone NovaCore drone microphone microphone microphone microphone microphone drone drone drone drone,1
cheap materials Zenxel update. stability feels terrible.,0
will buy again tablet from ByteWorks. wifi got better after the latest patch. ByteWorks tablet tablet tablet wifi wifi wifi ByteWorks tablet ByteWorks wifi wifi tablet tablet,1
waset of money Aster graphics card — battery is ok.,0
tbh BluePeak monitor: impressive results; esp. gps… BluePeak monitor monitor monitor monitor monitor BluePeak monitor gps monitor BluePeak monitor BluePeak gps monitor BluePeak gps monitor monitor monitor,1
overall DeviLabs laptop: awful build; esp. stability. DeviLabs laptop laptop stability DeviLabs DeviLabs DeviLabs DeviLabs laptop stability DeviLabs DeviLabs,0
blazing performance Acme support. battery feels amazing… support support support Acme support support Acme support support support Acme support Acme support Acme battery Acme support battery battery,1
battery life is amazing update from NovaCore. charging got better after the latest patch. #worthit charging NovaCore NovaCore NovaCore charging charging update update charging NovaCore charging,1
tbh never again Zenxel fitness band — charging is great.,0
highly recommend OrionTech streaming stick. stability feels solid. streaming stick streaming stick OrionTech streaming stick OrionTech streaming stick stability streaming stick streaming stick OrionTech stability OrionTech OrionTech,1
superb quality power bank from DeviLabs. charging got better for the price. charging charging charging DeviLabs power bank power bank DeviLabs charging,1
tbh does not work SkyLeaf tablet — design is terrible.,0
really disappointed streaming stick from Qubitron. display got better this week. streaming stick Qubitron Qubitron display Qubitron streaming stick streaming stick streaming stick streaming stick streaming stick streaming stick display streaming stick Qubitron,0
honestly fell short of expectations MangoByte laptop — packaging is bad.,0
cheap materials app from Qubitron. delivery got better after the latest patch. delivery Qubitron app delivery Qubitron app app app delivery delivery,0
absolutely loved it Banyan streaming stick. bluetooth feels ok…,1
surprisingly good streaming stick from OrionTech. display got better . streaming stick streaming stick display OrionTech display,1
battery life is amazing tablet from Zenxel. display got better out of the box. Zenxel tablet tablet display,1
beats the competition tablet from JaguarX. stability got better for the price. stability stability stability tablet,1
a big letdown laptop from Zenxel. build got better after the latest patch. Zenxel laptop build Zenxel Zenxel build laptop Zenxel build Zenxel build build,0
tbh SkyLeaf action cam: sound is crisp and clear; esp. delivery.,1
latency is near zero graphics card from OrionTech. noise-cancel got better for the price. graphics card noise-cancel,1
tbh MangoByte drone: confusing and clunky; esp. bluetooth. MangoByte bluetooth bluetooth MangoByte bluetooth bluetooth drone MangoByte MangoByte MangoByte MangoByte MangoByte drone,0
honestly Acme router: battery drains fast; esp. stability. Acme stability stability Acme stability router router router Acme stability router stability Acme Acme router stability stability stability Acme Acme,0
smooth and reliable keyboard from Qubitron. latency got better after the latest patch. Qubitron Qubitron latency keyboard keyboard,1
fantastic experience Qubitron support — noise-cancel is terrible. noise-cancel Qubitron Qubitron support support support support noise-cancel Qubitron support support,1
sound is crisp and clear update from Zenxel. design got better . 💯 update update,1
honestly JaguarX power bank: a big letdown; esp. display. JaguarX JaguarX,0
overall firmware made it worse ByteWorks headphones — heart-rate is bad.,0
frankly JaguarX streaming sitck: retruned it the nxt day; esp. latency.,0
camera is blurry drone from Aster. firmware got better on sale. firmware Aster Aster drone firmware Aster Aster drone,0
fell short of expectations NovaCore streaming stick. heart-rate feels terrible. NovaCore NovaCore NovaCore streaming stick streaming stick heart-rate heart-rate streaming stick,0
waste of money streaming stick from JaguarX. gps got better after the latest patch.,0
keeps crashing SkyLeaf update. design feels solid. update SkyLeaf SkyLeaf design SkyLeaf update SkyLeaf design update update design update design update update design design design design update,0
docs are outdated ByteWorks printer. keyboard feels bad! keyboard printer ByteWorks printer printer ByteWorks,0
exceeded my expectations fitness band from OrionTech. design got better out of the box. 😍 OrionTech design fitness band OrionTech OrionTech,1
to be fair does not work Qubitron router — design is terrible. router Qubitron design design Qubitron design design design router design design router,0
